"ID","Citation","Title","Year","Number.of.Studies","Screened","Include","Study","Focal.Hypothesis.Description","Design","Code.for.Interaction","Code.for.Main.Effect.vs.Interaction","TMT.theory.or.other","Method.MAPS.or.Other","Treatment.Group.2","Treatment.Group.3","Treatment.Group.4","Treatment.Group.5","Control.Group.DP.or.other","Control.Group.2","Interaction.Variable.1","Interaction.Variable.2","Interaction.Variable.3","Interaction.Variable.4","Dependent.Variable","Dependent.Variable.2","DV.Codes","DV.Types","Delay","Code.for.Delay.Task","Age.M","Entirely.College","Code.and.Location","Code.for.Location","Focal.Analysis.Description","Copy.Paste.Statistical.Result","test.Statistic","Value","df","p.value","Total.N","Statistics.1","Statistic.2","Notes","NumCells","Cell.N"
1126,"Leippe, M. R., Bergold, A. N., & Eisenstadt, D. (2017). Prejudice and terror management at trial: Effects of defendant race/ethnicity and mortality salience on mock-jurors’ verdict judgments. The Journal of Social Psychology, 157(3), 279–294. https://doi.org/10.1080/00224545.2016.1184128","Prejudice and terror management at trial: Effects of defendant race/ethnicity and mortality salience on mock-jurors’ verdict judgments.","2017",1,"","Y","1","Jurors laboring under high mortality salience, in some circumstances should be more likely than low-mortality-salience jurors to view prosecution evidence as supporting a guilty verdict and a suitable punishment...We predicted that, in addition to being greater for outgroup defendants, mortality salience effects would be greater in the murder trial than in the theft trial.","2X2X2 BS","Target Feature; Target Feature","interaction (2X2X2)","TMT","MAPS","","","","","DP","","Type of crime: Murder or Theft","defendant status: ingroup outgroup","","","Verdict preference","","3: other verdict decision","Prosociality","3","3","information not available","y","1: USA",1,"log-liner analysis","The log-liner analysis revealed that verdict preference was significantly related to defendant status, such that the outgroup defendant was more likely than the ingroup defendant to receive a guilty vote, 52% vs. 35%, χ2 (1, n = 228) = 5.67, p = .017, ϕ = .16. In addition, the 4-way association of all of the variables was significant, indicative of a 3-way interaction of crime type, mortality salience, and defendant status on verdict preferences, χ2 (1, n = 228) = 4.33, p = .038.","chi2","4.33","1","p=.038",237,"chi2(1)=4.33","","",8,29.625
1136,"Lieberman, J. D. (1999). Terror management, illusory correlation, and perceptions of minority groups. Basic and Applied Social Psychology, 21(1), 13–23. https://doi.org/10.1207/15324839951036524","Terror management, illusory correlation, and perceptions of minority groups.","1999",2,"","Y","1","These tendencies should then result in a stronger illusory correlation effect in participants instructed to contemplate their own death, relative to control participants instructed to contemplate a neutral topic. I tested this hypothesis in Study 1 using several common illusory correlation dependent measures.","1X2 BS","","main effect (2)","TMT","MAPS","","","","","OTHER (TV)","","","","","","illusory correlation (attributions of group membership)","","7: other illusory correlation","Cognition","PANAS-X","1","information not available","y","1: USA",1,"independent-samples t-test","I performed a t test on the z scores, which revealed a significant effect for mortality salience, t(30) = 2.09, p < .05. T","t","2.09","30","<.05",42,"t(30)=2.09","","I selected the first result that reflected hypothesis (and result section), as per selection rule",2,21
1137,"Lieberman, J. D. (1999). Terror management, illusory correlation, and perceptions of minority groups. Basic and Applied Social Psychology, 21(1), 13–23. https://doi.org/10.1207/15324839951036524","Terror management, illusory correlation, and perceptions of minority groups.","1999",2,"","Y","2","Once again, I expected mortality salience to increase the illusory correlation effect on the attribution, frequency estimation, and trait-ratings measures.","2X2 BS","","main effect (2)","TMT","MAPS","","","","","OTHER (TV)","","","","","","illusory correlation (attributions of group membership)","","7: other illusory correlation","Cognition","PANAS-X","1",NA,"y","1: USA",1,"independent-samples t-test","The t test on the attribution measure revealed a significant effect for mortality salience, t(30) = 2.09, p < .05. The illusory correlation was much stronger in the mortality salient condition (φ = –.43), than in the mortality not-salient condition (φ = –.06).","t","2.09","30","",45,"t(30)=2.09","","",4,11.25
1142,"Lieberman, J. D., Arndt, J., Personius, J., & Cook, A. (2001). Vicarious annihilation: The effect of mortality salience on perceptions of hate crimes. Law and Human Behavior, 25,547-566.","Vicarious annihilation: The effect of mortality salience on perceptions of hate crimes.","2001",2,"","Y","1","In Study 1, we focused on individuals' reactions to hate crimes in the abstract (i.e. without reference to a particular victim) and predicted that mortality salience would lead to more punitive reactions to hate crimes","1X2 BS","","main effect (2)","TMT","MAPS","","","","","DP","","","","","","questionnaires to assess their generalized attitudes toward hate crimes","","5: other attitude towards hate crimes","Attitudes and Beliefs","2 filler personality questionnaires","2","information not available","y","1: USA",1,"one-way ANOVA","This analysis revealed a main effect for mortality salience, F(1, 21) = 4.78, p < .05, ƞ2 = .19.","F","4.78","1,21","0.05",23,"F(1, 21)=4.78","","",2,11.5
1143,"Lieberman, J. D., Arndt, J., Personius, J., & Cook, A. (2001). Vicarious annihilation: The effect of mortality salience on perceptions of hate crimes. Law and Human Behavior, 25,547-566.","Vicarious annihilation: The effect of mortality salience on perceptions of hate crimes.","2001",2,"","Y","2","In the absence of salient concerns with mortality, we expected participants to be more punitive toward targets charged with a hate crime than those charged with a crime producing identical injuries, but driven by unspecified motivations.","2X3 BS","Target Feature ","interaction (2X3)","TMT","MAPS","","","","","DP","","Vignette of a crime","","","","participants' recommended bail amounts for an individual arrested for the commission of that crime","","5: other attitude towards crime","Attitudes and Beliefs","PANAS-X","1","information not available","y","1: USA",1,"ANOVA mixed","(p > .31). However, as expected, there was a significant Mortality Salience x Crime interaction, F(2,129) = 4.14, p < .02, r2 =.0","F","4.14","2,129","0.02",136,"F(2, 129)=4.14","","",6,22.6666666666667
1144,"Lieberman, J. D., Shoemaker, J., & Krauss, D. A. (2014). The effects of mortality salience and evidence strength on death penalty sentencing decisions. Psychology, Crime & Law, 20(3), 199–221. https://doi.org/10.1080/1068316X.2013.770853","The effects of mortality salience and evidence strength on death penalty sentencing decisions.","2014",2,"","Y","1","On the basis of previous research, we hypothesized that participants who were motivated to focus on their own mortality and exposed to trial-related references to death (Dual-Focused Mortality [DFM]) would be significantly more inclined to be sensitive to the strength of the cross-examination manipulation, and more likely to favor execution when the cross-examination was weak than when it was strong. However, participants only exposed to trial-related references to death (Trial-Focused Mortality [TFM]) would be less sensitive to the cross-examination manipulationssalience among capital jurors will increase a sense of justice, which involves a careful evaluation of evidence and adherence to the law","2X2 BS","Content Feature","main effect (2)","TMT","MAPS","","","","","DP","","Cross-examination (strong vs weak)","","","","Participants' belief that the defendant was a future danger","","5: other attitude towards criminal","Attitudes and Beliefs","PANAS-X","1","20","y","1: USA",1,"2X2 ANOVA","The results indicated a main effect for crossexamination (F(1, 123) = 5.25, p<0.05, ƞ2 = 0.04)","F","5.25","1,123","0.05",127,"F(1, 123)=5.25","","",4,31.75
1158,"Lifshin, U., Greenberg, J., Soenke, M., Darrell, A., & Pyszczynski, T. (2018). Mortality salience, religiosity, and indefinite life extension: Evidence of a reciprocal relationship between afterlife beliefs and support for forestalling death. Religion, Brain & Behavior, 8(1), 31–43. https://doi.org/10.1080/2153599X.2016.1238841","Mortality salience, religiosity, and indefinite life extension: Evidence of a reciprocal relationship between afterlife beliefs and support for forestalling death.","2018",1,"","Y","1","We predicted that although death reminders would increase faith in God and afterlife in the ILE-implausible conditions for high religious people, it might reduce faith in God and afterlife in low religious people, particularly in the ILE-plausible condition. Furthermore, we hypothesized that this increased (for religious individuals) and decreased (for non-religious individuals) faith in God and the afterlife would affect people’s attitude towards ILE inversely, so that it would indirectly decrease support for ILE for people who are high in religiosity and increase support for ILE among participants low in religiosity.","2X2X2 BS","R","interaction (2X2XC)","TMT","MAPS","","","","","OTHER (pain)","","religiosity","","","","support for ILE","","5: other faith in god and afterlife; 5: other indefinite life extension","Attitudes and Beliefs","PANAS-X + filler","2","19.03","y","1: USA",1,"regression","Also here, the religiosity × MS, and religiosity × plausibility of ILE interactions were statistically significant, b = −0.18, t = 2.26, p = 0.028, and b = −0.17, t = 2.12, p = 0.036, respectively.","t","2.26","91","",99,"t(91)=2.26","","",8,12.375
1159,"Lifshin, U., Greenberg, J., Zestcott, C. A., & Sullivan, D. (2017). The evil animal: A terror management theory perspective on the human tendency to kill animals. Personality and Social Psychology Bulletin, 43(6), 743–757. https://doi.org/10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals.","2017",5,"","Y","1","Our primary prediction was that subliminal death primes would cause participants to support the killing of animals more than control primes.","2X2X2 BS","Ge; Tr","main effect (2XCXC)","TMT","OTHER (subliminal death words)","","","","","OTHER (subliminal pain words)","","Gender","animal support (trait)","","","support for killing animals","","5: other worldview killing animals","Attitudes and Beliefs","morningness scale ","1","19.28","y","1: USA",1,"hierarchical linear regression","The subliminal prime, t(125) = 2.11, p = .037, β = .17; gender, t(125) = 2.57, p = .011, β = .21; and ATAR, t(120) = 4.88, p < .001, β = −.39, all significantly predicted support for killing animals","t","2.11","125","",129,"t(125)=2.11","","",8,16.125
1160,"Lifshin, U., Greenberg, J., Zestcott, C. A., & Sullivan, D. (2017). The evil animal: A terror management theory perspective on the human tendency to kill animals. Personality and Social Psychology Bulletin, 43(6), 743–757. https://doi.org/10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals.","2017",5,"","Y","2","We predicted that participants subliminally primed with “DEAD” would support killing animals more than participants subliminally primed with “FAIL.” However, we expected that there would be no difference between participants in the DEAD and FAIL conditions in support for killing humans.","2X2 BS","","main effect (2XC)","TMT","OTHER (subliminal death words)","","","","","OTHER (subliminal fail words)","","","","","","support for killing animals","","5: other worldview killing animals","Attitudes and Beliefs","morningness scale ","1","18.68","y","1: USA",1,"pairwise comparison","The pairwise comparison did in fact fully support our prediction (see Figure 1): In the subliminal death prime condition, participants supported the killing of animals (M = 5.06, 95% CI = [4.57, 5.57]) more than participants in the control condition (M = 4.23 [3.60, 4.85]), F(1, 77) = 5.06, p = .024, ηp 2 = .06, but there was no difference between the death (M = 3.46 [3.08, 3.84]) and control prime (M = 3.44 [2.97, 3.91]) in support for killing humans, F(1, 77) = 0.01, p = .95.","F","5.06","1,77","",87,"F(1, 77)=5.06","","",4,21.75
1161,"Lifshin, U., Greenberg, J., Zestcott, C. A., & Sullivan, D. (2017). The evil animal: A terror management theory perspective on the human tendency to kill animals. Personality and Social Psychology Bulletin, 43(6), 743–757. https://doi.org/10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals.","2017",5,"","Y","3","Again, we hypothesized that death primes (compared with control) would increase support for killing animals, but would not affect support for killing humans.","2X2X2 BS","Target features; De","interaction (2X2XC)","TMT","OTHER (death t-shirt prime)","","","","","OTHER (no death t-shirt)","","","target: animals or humans","gender","","support for killing","","5: other killing animals/humans","Attitudes and Beliefs","0","0","18.89","y","1: USA",1,"2X2X2 ANOVA (two-way interaction predicted)","Most importantly, the hypothesized Prime × Target interaction was significant, F(1, 220) = 5.09, p = .025","F","5.09","1,220","",228,"F(1, 220)=5.09","","",8,28.5
1162,"Lifshin, U., Greenberg, J., Zestcott, C. A., & Sullivan, D. (2017). The evil animal: A terror management theory perspective on the human tendency to kill animals. Personality and Social Psychology Bulletin, 43(6), 743–757. https://doi.org/10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals.","2017",5,"","Y","4","We hypothesized that although under neutral conditions a subliminal death prime would increase support for killing animals, a self-esteem boost would eliminate this effect.","2X2 BS","M","interaction (2X2+C+C)","TMT","OTHER (subliminal death words)","","","","","OTHER (subliminal fail words)","","feedback condition: positive or neutral","","","","support for killing animals","","5: other worldview killing animals","Attitudes and Beliefs","morningness scale ","1","18.56","y","1: USA",1,"2X2 ANCOVA","Importantly, the hypothesized Prime × Feedback interaction was significant, F(1, 74) = 9.40, p = .003, η2p = .11 (see Figure 3). As expected, when","F","9.4","1,74","",80,"F(1, 74)=9.4","","",4,20
1163,"Lifshin, U., Greenberg, J., Zestcott, C. A., & Sullivan, D. (2017). The evil animal: A terror management theory perspective on the human tendency to kill animals. Personality and Social Psychology Bulletin, 43(6), 743–757. https://doi.org/10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals.","2017",5,"","Y","5","We predicted that the subliminal DEAD (compared with FAIL) primes would increase support for killing animals, especially when it is justified and there is ambiguity regarding the participants’ motives for supporting the killing.","2X2 BS","","main effect (2XC)","TMT","OTHER (subliminal death words)","","","","","OTHER (subliminal fail words)","","","","","","Support for killing male chicks","","5: other worldview killing animals","Attitudes and Beliefs","morningness scale ","1","18.75","y","1: USA",1,"2X2 ANCOVA (main effect predicted)","There was a significant main effect for the type of prime, F(1, 99) = 7.73, p = .006, η2p = .07, as participants in the subliminal DEAD priming condition sup- ported the killing of male chicks significantly more (M = 3.49, 95% CI = [3.16, 3.82]) than those in the control condi- tion, (M = 2.95 [2.7, 3.21]).","F","7.73","1,99","",106,"F(1, 99)=7.73","","main effect taken as support for hypothesis",4,26.5
1176,"Lüdecke, C., & Baumann, N. (2015). When death is not a problem: Regulating implicit negative affect under mortality salience. Scandinavian Journal of Psychology, 56(6), 678–684. https://doi.org/10.1111/sjop.12243","When death is not a problem: Regulating implicit negative affect under mortality salience.","2015",1,"","Y","1","We assumed that people with high affect-regulation skills (action orientation) experience less implicit negative affect under mortality salience than people with low affect-regulation skills (state orientation).","2X2 BS","Tr","interaction (2X2 + C)","TMT","MAPS","","","","","DP","","state-oriented personality types","","","","Implicit negative affect measure","","1: Other implicit and explict affect (State orientation vs action orientation)","Affect and Emotion","0","0","15.94","n","2: Germany",2,"2X2 ANCOVA","Consistent with expectations, the analysis revealed a significant Condition X Personality interaction, F(1, 50) = 5.40, p < 0.05, p = 0.097.","F","5.4","1,50","p<.0.05",55,"F(1,50)=5.4","","",4,13.75
1181,"Lykins, E. L. B., Segerstrom, S. C., Averill, A. J., Evans, D. R., & Kemeny, M. E. (2007). Goal shifts following reminders of mortality: Reconciling posttraumatic growth and terror management theory. Personality and Social Psychology Bulletin, 33(8), 1088–1099. https://doi.org/10.1177/0146167207303015","Goal shifts following reminders of mortality: Reconciling posttraumatic growth and terror management theory.","2007",3,"","Y","3","We hypothesized that type of processing would influence perceived goal values and goal shifts such that on Day 1, the participants in the death-reflection condition would report increased intrinsic goal value and lower extrinsic goal value than those in the mortality-salience condition, with those in the control condition reporting values between the two death-related groups.","2x3 BS","","main effect (2)","TMT","MAPS","death reflection","","","","DP","","6 days","","","","life goals inventory","","5: other worldview life goals","Attitudes and Beliefs","days","","19.1","y","1: USA",1,"2x3 ANOVA","The groups did differ significantly in their intrinsic goal value, F(2, 102) = 3.37, p < .05, η = .24, with the dental-pain group members reporting higher value attached to intrinsic goals (M = 53.52) than either death-processing group (death reflection M = 50.09; mortality salience M = 50.55).","F","3.37","2,102","<0.05",103,"F(2, 102)=3.37","","",6,17.1666666666667
1182,"Ma-Kellams, C., & Blascovich, J. (2011). Culturally divergent responses to mortality salience. Psychological Science, 22,1019-1024.","Culturally divergent responses to mortality salience.","2011",2,"","Y","1","We predicted that whereas European Americans would opt for this strategy (derogating dissimilar others) under mortality-salience conditions, Asian Americans would actually embrace the dissimilar other to affirm their interdepnendence and to bolster the collective","2X2 BS","E","main effects (2)","TMT","MAPS","","","","","DP","","ethnicity (European American vs Asian American)","","","","amount of bail for prostitute","","5: Outgroup prostitutes","Attitudes and Beliefs","1 (PANAS)","1","20.5","y","1: USA",1,"simple effects","Planned comparisons showed results consistent with existing TMT research: European Americans reported a significantly more negative attitude toward prostitution in the mortality-salience condition (M = -0.0092, SD = 0.28) than in the control condition (M = 1.022, SD = 0.34), (20) = 2.10, p = .048, whereas Asian Americans showed the opposite effect (mortality-salience condition: M = 0.21, SD = 0.31; control condition: M = -0.73, SD = 0.34), (18) = 2.73, p = .013).","t","2.1","20","",42,"t(20)=2.1","t(18)=2.73","not sure how to interpret Wilk's lambda",4,10.5
1183,"Ma-Kellams, C., & Blascovich, J. (2011). Culturally divergent responses to mortality salience. Psychological Science, 22,1019-1024.","Culturally divergent responses to mortality salience.","2011",2,"","Y","2","We predicted that whereas European Americans would respond to mortality salience with increased psychological distancing (i.e., to protect the self), Asian Americans would respond with decreased psychological distancing (i.e., to affirm the interdependence between individauls)","2X2 BS","E","main effects (2)","TMT","MAPS","","","","","DP","","ethnicity (European American vs Asian American)","","","","Assignment of Blame Scale","","5: Outgroup","Attitudes and Beliefs","1 (PANAS)","1","18.6","y","1: USA",1,"simple effects","Planned contrasts revealed results consistent with existing TMT research: European Americans in the mortality-salience condition blamed the victim more (M = 1.68, SD = 0.14) than did those in the control condition (M = 1.31, SD = 0.15), t(46) = 2.119, p = .040. However, Asian Americans in the mortality-salience condition blamed the victim less (M = 1.55, SD = 0.29) than did those in the control condition (M= 2.48, SD = 0.19), t(22) = 2.15, p = .043.","t","2.11","46","0.001",71,"t(46)=2.11","t(22)=2.15","",4,17.75
1185,"Ma-Kellams, C., & Blascovich, J. (2012). Enjoying life in the face of death: East–West differences in responses to mortality salience. Journal of Personality and Social Psychology, 103(5), 773–786. https://doi.org/10.1037/a0029366","Enjoying life in the face of death: East–West differences in responses to mortality salience.","2012",5,"","Y","2","We predicted that when given the choice between both immortality-promoting and enjoying life responses after reminders of death, East Asians would show a preference for the enjoying life responses.","2X2 BS","Cu","interaction (2X2X2w)","TMT","MAPS","","","","","DP","","culture (European American vs East Asian)","","","","symbolic vs literal immortality choice","","2: Happiness","Desire","1 (PANAS)","1","?","y","1: USA",1,"2X2X2 MS ANOVA","As predicted, there was a significant three-way interaction among culture, condition, and activity type, F(1, 51) = 4.47, p = .039.","F","4.47","1,51","0.039",55,"F(1, 51)=4.47","","",4,13.75
1186,"Ma-Kellams, C., & Blascovich, J. (2012). Enjoying life in the face of death: East–West differences in responses to mortality salience. Journal of Personality and Social Psychology, 103(5), 773–786. https://doi.org/10.1037/a0029366","Enjoying life in the face of death: East–West differences in responses to mortality salience.","2012",5,"","Y","3","We hypothesized that East Asians would engage in and enjoy the comics more—that is, find the comics funnier—after being primed with their own mortality because the comics would allow them to make the most out of their present reality. In contrast, we hypothesized the European Americans would not change their engagement in or enjoyment of the comics as a function of the mortality prime, as enjoying life would not stand as a viable way of coping with death-related concerns for such participants.","2X2 BS","Cu","interaction (2X2)","TMT","MAPS","","","","","DP","","culture (European American vs East Asian)","","","","rating of the comic strips","","1: other humour","Affect and Emotion","1 (PANAS)","1","information not available","y","1: USA",1,"2X2 ANOVA","There was no main effect of condition (F < 1); however, a marginal main effect of culture emerged, F(1, 54) = 3.76, p = .058. Asians rated the comics as more funny overall (M = 6.24, SD = 0.30) compared to European Americans (M = 5.52, SD = 0.26). This was qualified by a significant culture by condition interaction, F(1, 54) = 11.00, p = .002.","F","11","1,54","0.002",58,"F(1, 54)=11","","",4,14.5
1187,"Ma-Kellams, C., & Blascovich, J. (2012). Enjoying life in the face of death: East–West differences in responses to mortality salience. Journal of Personality and Social Psychology, 103(5), 773–786. https://doi.org/10.1037/a0029366","Enjoying life in the face of death: East–West differences in responses to mortality salience.","2012",5,"","Y","4","We predicted that the East-West difference in striving to enjoy life in the face of death could account for Easterner's tendency to view and process the world in a holistic manner.","2X2 BS","Cu","interaction (2X2)","TMT","MAPS","","","","","DP","","culture (European American vs East Asian)","","","","funniest joke participants could think of","","1: other humour","Affect and Emotion","1 (PANAS)","1","information not available","y","1: USA",1,"2X2 ANOVA","However, a significant culture by condition interaction emerged, F(1, 56) = 6.41, p = .014. East Asians wrote funnier jokes (as judged by coders) in the MS condition (M = 3.15, SD = 0.32) compared to the control (M = 1.91, SD = 0.39), F(1, 56) = 5.89, p = .018.","F","6.41","1,56","0.014",60,"F(1, 56)=6.41","","",4,15
1188,"Ma-Kellams, C., & Blascovich, J. (2012). Enjoying life in the face of death: East–West differences in responses to mortality salience. Journal of Personality and Social Psychology, 103(5), 773–786. https://doi.org/10.1037/a0029366","Enjoying life in the face of death: East–West differences in responses to mortality salience.","2012",5,"","Y","5","We predicted that those primed with holistic thinking would be more likely to enjoy the recreational activities after thinking about their own death relative to those primed with linear thinking. Importantly, we also predicted that holistic thinking would not lead participants who experienced the control manipulation to enjoy recreational activities more.","2X2 BS","Cog (state of mind)","interaction (2X2XC)","TMT","MAPS","","","","","DP","","type of thinking (holistic vs linear)","","","","enjoyment of recreational activities","","2: Happiness","Desire","1 (PANAS)","1","information not available","y","1: USA",1,"2X2XC BS ANOVA","ANOVA with cognitive prime, MS condition, and culture as factors predicting interest in life enjoyment yielded no main effects (all Fs < 1); however, a significant cognitive prime by MS condition interaction emerged, F(1, 103) = 6.53, p = .012.","F","6.53","1,103","0.012",106,"F(1, 103)=6.53","","",4,26.5
1189,"MacDonald, G., & Lipp, O. V. (2008). Mortality salience reduces attentional bias for fear-relevant animals. Motivation and Emotion, 32(3), 243–250. https://doi.org/10.1007/s11031-008-9100-6","Mortality salience reduces attentional bias for fear-relevant animals.","2008",2,"","Y","1","Consistent with past research, we predicted that participants would demonstrate biased attention for fear-relevant animals at baseline. However, we also predicted a significant reduction in biased attention for fear-relevant animals following the manipulation among those randomly assigned to the mortality salience condition.","2WX2B","Content Features ","interaction (2wX2)","TMT","MAPS","","","","","OTHER (TV)","","time (dot-probe task before and after MS manipulation)","","","","dot-prob animal bias task difference","","7: other dot-probe task fear","Cognition","0","0","20.02","y","4: Australia",4,"2X2 MS ANOVA","Analyses of bias for fear-relevant animals were conducted using a mixed-model ANOVA with one between participant factor (experimental condition) and one within-participants factor (time of testing). No main effects were found for the analysis of bias for fear-relevant animals, but the condition by time of testing interaction was significant, F(1, 46) = 7.61, p = .008.","F","7.61","1,46","0.008",48,"F(1, 46)=7.61","","",2,24
1194,"Magee, R. G., & Kalyanaraman, S. (2009). Effects of worldview and mortality salience in persuasion processes.Media Psychology, 12,171-194.","Effects of worldview and mortality salience in persuasion processes","2009",1,"","Y","1","Mortality salience will affect worldview such that the slope of the worldview scores will be greater in the mortality salience condition than in the control condition.","2X1 BS","Threat to Worldview ","interaction (2X2)","TMT","MAPS","","","","","OTHER (TV)","","worldview scores (continuous)","","","","attitude towards advertisement A","","7: other evaluation of persuasive message","Cognition","delay","1","20.75","y","1: USA",1,"regression analysis","the interaction between mortality salience and worldview was significant for Aad β = −.217, p < .01, and BI, β = −.163, p < .05","t","-2.771","145","NA (p<.01)",149,"t(145)=-2.771","","",2,74.5
1195,"Magee, Robert G., & Wojdynski, B. W. (2012). Mortality salience effects on selective exposure and Web browsing behavior. Cyberpsychology, Behavior, and Social Networking, 15(12), 663–668. https://doi.org/10.1089/cyber.2012.0205","Mortality salience effects on selective exposure and Web browsing behavior.","2012",1,"","Y","1","Mortality salience will moderate the effect of participant’s issue-related attitudes on selective exposure, such that their issue-related attitudes will be a stronger predictor of the number of pages of an issue-congruent Website which they view in the control condition than in the mortality salience condition.","2WX2B","Attitude/Political Ideology","interaction (2X2+C)","TMT","MAPS","","","","","DP","","NEP (New Ecological Paradigm: high vs low)","","","","response times","","5: Other attitudes towards environmentalism","Attitudes and Beliefs","distraction","1","20.14","y","1: USA",1,"2X2 ANCOVA","The analysis of covariance (ANCOVA) for the number of pages viewed was marginally significant in Step 1, F(3, 208) = 2.41, p = 0.068, Adj. R2 = 0.02, but significant in Step 2, with the interaction term included, F(4, 207)=3.24, p=0.013, Adj. R2 = 0.04.","F","3.24","4,207","0.013",215,"F(4, 207)=3.24","","",2,107.5
1203,"Major, Rochelle J., Whelton, W. J., Schimel, J., & Sharpe, D. (2016). Older adults and the fear of death: The protective function of generativity. Canadian Journal on Aging, 35(2), 261–272. https://doi.org/10.1017/S0714980816000143","Older adults and the fear of death: The protective function of generativity.","2016",1,"","Y","1","we hypothesized that in controlling for baseline generativity, generativity levels in seniors undergoing a subtle mortality salience induction would be higher than generativity levels in seniors in the blatant and control conditions.","3X1 BS","","main effect (2)","TMT","OTHER (Subtle MS Prime (Method: Death words word search))","","","","","OTHER (MAPS)","DP","","","","","Generativity","","7: other MSPD generativity","Cognition","PANAS and word filler ","2","72.18","n","4: Canada",4,"Helmert contrast","The first Helmert contrast revealed a statistically significant difference between the MS Subtle group versus the MS Blatant and Control groups, t(176) = 2.60, p = .025, 95% CI [0.34, 4.87], indicating that those in the MS Subtle group (M adj = 80.19) had higher levels of generativity as measured by the LGS than those in the MS Blatant (M adj = 77.74) and Control (M adj = 77.44) groups after co-varying pre-induction generativity as measured by the MSPD.","t","2.6","176","p=.025",179,"t(176)=2.6","","Guide says to report treatment vs control 1, but the literature does not report that statistic and only reports the Helmert contrast",3,59.6666666666667
1210,"Mandel, N., & Heine, S. J. (1999). Terror management and marketing: He who dies with the most toys wins. Advances in Consumer Research, 26,527-532.","Terror management and marketing: He who dies with the most toys wins.","1999",1,"","Y","1","Therefore, we hypothesized that subjects who are manipulated to think about death will be more interested in purchasing high-status products than those who do not receive the manipulation","1X2 BS","","main effect (2)","TMT","OTHER (Fear of death scale)","","","","","OTHER (Depression scale)","","","","","","Interest in Rolex","","2: Worldly Possessions","Desire","PANAS","1","infomation not available","y","1: USA",1,"one-tailed t-test","Since we had predicted that mortality salient subjects would give higher ratings to status products, we used a one-tailed t-test. As predicted, subjects in the mortality salient group rated the Rolex higher than did subjects in the control group on each of the three questions. Mortality salient subjects gave Rolex an average rating of 3.54, while control subjects gave it an average rating of 2.83, and this difference was significant (t[72]=2.07, p=.02).","t","2.07","72","p=.02",74,"t(72)=2.07","","The study design was 2x2 but the focal hypothesis only made a prediction about the high status products and not the low. The first reported significant result was the high status and not the interaction",2,37
1211,"Mandel, N., & Smeesters, D. (2008). The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers. Journal of Consumer Research, 35(2), 309–323. https://doi.org/10.1086/587626","The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers.","2008",5,"","Y","1","Self-esteem will moderate the effect of MS on the consumption quantity of food and drinks. The positive effect of MS on consumption quantity will be stronger for LSE consumers than for HSE consumers.","2X2X2 BS","Tr","interaction (2XCX2)","TMT","MAPS","","","","","DP","","Self-Esteem: High Low ","","","","Quantity of food items inidividuals wished to purchase","","2: Worldly Possessions","Desire","PANAS + filler","2","infomation not available","y","1: USA",1,"2X2X2 ANOVA","Furthermore, the MS x self-esteem interaction reached significance (F(1, 384)=4.25, p<.05)","F","4.25","1,384","NA (p<.05)",392,"F(1, 384)=4.25","","",8,49
1213,"Mandel, N., & Smeesters, D. (2008). The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers. Journal of Consumer Research, 35(2), 309–323. https://doi.org/10.1086/587626","The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers.","2008",5,"","Y","3","Therefore, to generalize our effects, we measure participants’ actual rather than hypothetical eating behavior in experiment 3 by using a cookie-tasting paradigm","2X2 BS","Tr","interaction (2X2)","TMT","MAPS","","","","","OTHER (Medical procedure pain)","","Self-Esteem: High Low ","","","","Number of cookies consumed","","2: other food","Desire","PANAS + filler","2","infomation not available","y","1: USA",1,"2X2 ANOVA","Both main effects were qualified by the MS X self-esteem interaction ( , F(1, 99) p 4.15 p = .05).","F","4.15","1,99","NA (p<.01)",103,"F(1, 99)=4.15","","",4,25.75
1214,"Mandel, N., & Smeesters, D. (2008). The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers. Journal of Consumer Research, 35(2), 309–323. https://doi.org/10.1086/587626","The sweet escape: Effects of mortality salience on consumption quantities for high- and low-self-esteem consumers.","2008",5,"","Y","4","In experiment 4, we examine whether further heightening the level of self-awareness strengthens the effect of MS on consumption quantities for LSE consumers.","3X2X2 BS","Tr; Tr","interaction (3X2X2)","TMT","MAPS","","","","","OTHER (Medical procedure pain)","","Self-Esteem: High Low ","self-awareness: SA-escape, SA-no escape, no-SA","","","Quantity of food items inidividuals wished to purchase","","2: Worldly Possessions","Desire","PANAS + filler","2","infomation not available","y","1: USA",1,"3X2X2 ANOVA","We also obtained a significant three-way interaction among self-awareness, MS, and self-esteem (F(2, 137)=6.20, p<.01), supporting hypothesis 3","F","6.2","2,137","NA (p<.01)",149,"F(2, 137)=6.2","","",12,12.4166666666667
